"Nombre","Código ","Numero Municipio"
"POPAYÁN","19","19001"
"ALMAGUER","19","19022"
"ARGELIA","19","19050"
"BALBOA","19","19075"
"BOLÍVAR","19","19100"
"BUENOS AIRES","19","19110"
"CAJIBÍO","19","19130"
"CALDONO","19","19137"
"CALOTO","19","19142"
"CORINTO","19","19212"
"EL TAMBO","19","19256"
"FLORENCIA","19","19290"
"GUACHENÉ","19","19300"
"GUAPI","19","19318"
"INZÁ","19","19355"
"JAMBALÓ","19","19364"
"LA SIERRA","19","19392"
"LA VEGA","19","19397"
"LÓPEZ DE MICAY","19","19418"
"MERCADERES","19","19450"
"MIRANDA","19","19455"
"MORALES","19","19473"
"PADILLA","19","19513"
"PÁEZ","19","19517"
"PATÍA","19","19532"
"PIAMONTE","19","19533"
"PIENDAMÓ - TUNÍA","19","19548"
"PUERTO TEJADA","19","19573"
"PURACÉ","19","19585"
"ROSAS","19","19622"
"SAN SEBASTIÁN","19","19693"
"SANTANDER DE QUILICHAO","19","19698"
"SANTA ROSA","19","19701"
"SILVIA","19","19743"
"SOTARÁ PAISPAMBA","19","19760"
"SUÁREZ","19","19780"
"SUCRE","19","19785"
"TIMBÍO","19","19807"
"TIMBIQUÍ","19","19809"
"TORIBÍO","19","19821"
"TOTORÓ","19","19824"
"VILLA RICA","19","19845"
"VALLEDUPAR","20","20001"
"AGUACHICA","20","20011"
"AGUSTÍN CODAZZI","20","20013"
"ASTREA","20","20032"
"BECERRIL","20","20045"
"BOSCONIA","20","20060"
"CHIMICHAGUA","20","20175"
"CHIRIGUANÁ","20","20178"
"CURUMANÍ","20","20228"
"EL COPEY","20","20238"
"EL PASO","20","20250"
"GAMARRA","20","20295"
"GONZÁLEZ","20","20310"
"LA GLORIA","20","20383"
"LA JAGUA DE IBIRICO","20","20400"
"MANAURE BALCÓN DEL CESAR","20","20443"
"PAILITAS","20","20517"
"PELAYA","20","20550"
"PUEBLO BELLO","20","20570"
"RÍO DE ORO","20","20614"
"LA PAZ","20","20621"
"SAN ALBERTO","20","20710"
"SAN DIEGO","20","20750"
"SAN MARTÍN","20","20770"
"TAMALAMEQUE","20","20787"
"MONTERÍA","23","23001"
"AYAPEL","23","23068"
"BUENAVISTA","23","23079"
"CANALETE","23","23090"
"CERETÉ","23","23162"
"CHIMÁ","23","23168"
"CHINÚ","23","23182"
"CIÉNAGA DE ORO","23","23189"
"COTORRA","23","23300"
"LA APARTADA","23","23350"
"LORICA","23","23417"
"LOS CÓRDOBAS","23","23419"
"MOMIL","23","23464"
"MONTELÍBANO","23","23466"
"MOÑITOS","23","23500"
"PLANETA RICA","23","23555"
"PUEBLO NUEVO","23","23570"
"PUERTO ESCONDIDO","23","23574"
"PUERTO LIBERTADOR","23","23580"
"PURÍSIMA DE LA CONCEPCIÓN","23","23586"
"SAHAGÚN","23","23660"
"SAN ANDRÉS DE SOTAVENTO","23","23670"
"SAN ANTERO","23","23672"
"SAN BERNARDO DEL VIENTO","23","23675"
"SAN CARLOS","23","23678"
"SAN JOSÉ DE URÉ","23","23682"
"SAN PELAYO","23","23686"
"TIERRALTA","23","23807"
"TUCHÍN","23","23815"
"VALENCIA","23","23855"
"AGUA DE DIOS","25","25001"
"ALBÁN","25","25019"
"ANAPOIMA","25","25035"
"ANOLAIMA","25","25040"
"ARBELÁEZ","25","25053"
"BELTRÁN","25","25086"
"BITUIMA","25","25095"
"BOJACÁ","25","25099"
"CABRERA","25","25120"
"CACHIPAY","25","25123"
"CAJICÁ","25","25126"
"CAPARRAPÍ","25","25148"
"CÁQUEZA","25","25151"
"CARMEN DE CARUPA","25","25154"
"CHAGUANÍ","25","25168"
"CHÍA","25","25175"
"CHIPAQUE","25","25178"
"CHOACHÍ","25","25181"
"CHOCONTÁ","25","25183"
"COGUA","25","25200"
"COTA","25","25214"
"CUCUNUBÁ","25","25224"
"EL COLEGIO","25","25245"
"EL PEÑÓN","25","25258"
"EL ROSAL","25","25260"
"FACATATIVÁ","25","25269"
"FÓMEQUE","25","25279"
"FOSCA","25","25281"
"FUNZA","25","25286"
"FÚQUENE","25","25288"
"FUSAGASUGÁ","25","25290"
"GACHALÁ","25","25293"
"GACHANCIPÁ","25","25295"
"GACHETÁ","25","25297"
"GAMA","25","25299"
"GIRARDOT","25","25307"
"GRANADA","25","25312"
"GUACHETÁ","25","25317"
"GUADUAS","25","25320"
"GUASCA","25","25322"
"GUATAQUÍ","25","25324"
"GUATAVITA","25","25326"
"GUAYABAL DE SÍQUIMA","25","25328"
"GUAYABETAL","25","25335"
"GUTIÉRREZ","25","25339"
"JERUSALÉN","25","25368"
"JUNÍN","25","25372"
"LA CALERA","25","25377"
"LA MESA","25","25386"
"LA PALMA","25","25394"
"LA PEÑA","25","25398"
"LA VEGA","25","25402"
"LENGUAZAQUE","25","25407"
"MACHETÁ","25","25426"
"MADRID","25","25430"
"MANTA","25","25436"
"MEDINA","25","25438"
"MOSQUERA","25","25473"
"NARIÑO","25","25483"
"NEMOCÓN","25","25486"
"NILO","25","25488"
"NIMAIMA","25","25489"
"NOCAIMA","25","25491"
"VENECIA","25","25506"
"PACHO","25","25513"
"PAIME","25","25518"
"PANDI","25","25524"
"PARATEBUENO","25","25530"
"PASCA","25","25535"
"PUERTO SALGAR","25","25572"
"PULÍ","25","25580"
"QUEBRADANEGRA","25","25592"
"QUETAME","25","25594"
"QUIPILE","25","25596"
"APULO","25","25599"
"RICAURTE","25","25612"
"SAN ANTONIO DEL TEQUENDAMA","25","25645"
"SAN BERNARDO","25","25649"
"SAN CAYETANO","25","25653"
"SAN FRANCISCO","25","25658"
"SAN JUAN DE RIOSECO","25","25662"
"SASAIMA","25","25718"
"SESQUILÉ","25","25736"
"SIBATÉ","25","25740"
"SILVANIA","25","25743"
"SIMIJACA","25","25745"
"SOACHA","25","25754"
"SOPÓ","25","25758"
"SUBACHOQUE","25","25769"
"SUESCA","25","25772"
"SUPATÁ","25","25777"
"SUSA","25","25779"
"SUTATAUSA","25","25781"
"TABIO","25","25785"
"TAUSA","25","25793"
"TENA","25","25797"
"TENJO","25","25799"
"TIBACUY","25","25805"
"TIBIRITA","25","25807"
"TOCAIMA","25","25815"
"TOCANCIPÁ","25","25817"
"TOPAIPÍ","25","25823"
"UBALÁ","25","25839"
"UBAQUE","25","25841"
"VILLA DE SAN DIEGO DE UBATÉ","25","25843"
"UNE","25","25845"
"ÚTICA","25","25851"
"VERGARA","25","25862"
"VIANÍ","25","25867"
"VILLAGÓMEZ","25","25871"
"VILLAPINZÓN","25","25873"
"VILLETA","25","25875"
"VIOTÁ","25","25878"
"YACOPÍ","25","25885"
"ZIPACÓN","25","25898"
"ZIPAQUIRÁ","25","25899"
"QUIBDÓ","27","27001"
"ACANDÍ","27","27006"
"ALTO BAUDÓ","27","27025"
"ATRATO","27","27050"
"BAGADÓ","27","27073"
"BAHÍA SOLANO","27","27075"
"BAJO BAUDÓ","27","27077"
"BOJAYÁ","27","27099"
"EL CANTÓN DEL SAN PABLO","27","27135"
"CARMEN DEL DARIÉN","27","27150"
"CÉRTEGUI","27","27160"
"CONDOTO","27","27205"
"EL CARMEN DE ATRATO","27","27245"
"EL LITORAL DEL SAN JUAN","27","27250"
"ISTMINA","27","27361"
"JURADÓ","27","27372"
"LLORÓ","27","27413"
"MEDIO ATRATO","27","27425"
"MEDIO BAUDÓ","27","27430"
"MEDIO SAN JUAN","27","27450"
"NÓVITA","27","27491"
"NUEVO BELÉN DE BAJIRÁ *","27","27493"
"NUQUÍ","27","27495"
"RÍO IRÓ","27","27580"
"RÍO QUITO","27","27600"
"RIOSUCIO","27","27615"
"SAN JOSÉ DEL PALMAR","27","27660"
"SIPÍ","27","27745"
"TADÓ","27","27787"
"UNGUÍA","27","27800"
"UNIÓN PANAMERICANA","27","27810"
"NEIVA","41","41001"
"ACEVEDO","41","41006"
"AGRADO","41","41013"
"AIPE","41","41016"
"ALGECIRAS","41","41020"
"ALTAMIRA","41","41026"
"BARAYA","41","41078"
"CAMPOALEGRE","41","41132"
"COLOMBIA","41","41206"
"ELÍAS","41","41244"
"GARZÓN","41","41298"
"GIGANTE","41","41306"
"GUADALUPE","41","41319"
"HOBO","41","41349"
"ÍQUIRA","41","41357"
"ISNOS","41","41359"
"LA ARGENTINA","41","41378"
"LA PLATA","41","41396"
"NÁTAGA","41","41483"
"OPORAPA","41","41503"
"PAICOL","41","41518"
"PALERMO","41","41524"
"PALESTINA","41","41530"
"PITAL","41","41548"
"PITALITO","41","41551"
"RIVERA","41","41615"
"SALADOBLANCO","41","41660"
"SAN AGUSTÍN","41","41668"
"SANTA MARÍA","41","41676"
"SUAZA","41","41770"
"TARQUI","41","41791"
"TESALIA","41","41797"
"TELLO","41","41799"
"TERUEL","41","41801"
"TIMANÁ","41","41807"
"VILLAVIEJA","41","41872"
"YAGUARÁ","41","41885"
"RIOHACHA","44","44001"
"ALBANIA","44","44035"
"BARRANCAS","44","44078"
"DIBULLA","44","44090"
"DISTRACCIÓN","44","44098"
"EL MOLINO","44","44110"
"FONSECA","44","44279"
"HATONUEVO","44","44378"
"LA JAGUA DEL PILAR","44","44420"
"MAICAO","44","44430"
"MANAURE","44","44560"
"SAN JUAN DEL CESAR","44","44650"
"URIBIA","44","44847"
"URUMITA","44","44855"
"VILLANUEVA","44","44874"
"SANTA MARTA","47","47001"
"ALGARROBO","47","47030"
"ARACATACA","47","47053"
"ARIGUANÍ","47","47058"
"CERRO DE SAN ANTONIO","47","47161"
"CHIVOLO","47","47170"
"CIÉNAGA","47","47189"
"CONCORDIA","47","47205"
"EL BANCO","47","47245"
"EL PIÑÓN","47","47258"
"EL RETÉN","47","47268"
"FUNDACIÓN","47","47288"
"GUAMAL","47","47318"
